[2024-10-02T22:21:48.282+0300] {triggerer_job_runner.py:181} INFO - Setting up TriggererHandlerWrapper with handler <FileTaskHandler (NOTSET)>
[2024-10-02T22:21:48.284+0300] {triggerer_job_runner.py:237} INFO - Setting up logging queue listener with handlers [<RedirectStdHandler <stdout> (NOTSET)>, <NonCachingFileHandler /home/hamsterhom220/MLOps/Assign1/services/airflow/logs/triggerer.log (NOTSET)>, <TriggererHandlerWrapper (NOTSET)>]
[2024-10-02T22:21:48.294+0300] {triggerer_job_runner.py:338} INFO - Starting the triggerer
[2024-10-02T22:22:48.341+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:23:48.383+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:24:48.427+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:25:48.481+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:26:48.541+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:27:48.588+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:28:48.643+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:29:48.685+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:30:48.732+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:31:48.783+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:32:48.836+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:33:48.881+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:34:48.928+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:35:48.970+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:36:49.021+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:37:49.067+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:38:49.121+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:39:49.172+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:40:49.224+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:41:49.282+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:42:49.337+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:43:49.396+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:44:49.447+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:45:49.492+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:46:49.541+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:47:49.589+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:48:49.639+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:49:49.692+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:50:49.742+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:51:49.789+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:52:49.835+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:53:49.888+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:54:49.925+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:55:49.964+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:56:50.006+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:57:50.059+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:58:50.105+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T22:59:50.144+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:00:50.191+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:01:50.246+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:02:50.297+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:03:50.338+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:04:50.387+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:05:50.429+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:06:50.474+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:07:50.528+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:08:50.580+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:09:50.630+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:10:50.677+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:11:50.728+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:12:50.778+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:13:50.830+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:14:50.881+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:15:50.930+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:16:50.984+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:17:51.031+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:18:51.077+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:19:51.125+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:20:51.176+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:21:51.215+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:22:51.265+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:23:51.316+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:24:51.367+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:25:51.422+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
[2024-10-02T23:26:51.475+0300] {triggerer_job_runner.py:510} INFO - 0 triggers currently running
